Logging in: /home/yf22/Transferred-Tickets-Wins/omp/runs/img-c100-resnet50-eps3-uns-p0.5-finetune
==> Preparing dataset cifar100..
Files already downloaded and verified
Files already downloaded and verified
=> loading checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt'
=> loaded checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt' (epoch 90)
[Replacing the last layer with 0 hidden layers and 1 classification layer that fits the cifar100 dataset.]
no weight for calculating sparsity
L1 Unstructured Pruning Start
L1 Unstructured Pruning Done!
* remain weight ratio =  50.0 %
remove pruning
=> loading checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt'
=> loaded checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt' (epoch 90)
[Replacing the last layer with 0 hidden layers and 1 classification layer that fits the cifar100 dataset.]
Dataset: cifar100 | Model: resnet50
Use SGD as the optimizer
/home/yf22/Transferred-Tickets-Wins/omp/my_robustness/train.py:25: UserWarning: Could not import amp.
  warnings.warn('Could not import amp.')

  0%|          | 0/782 [00:00<?, ?it/s]
Train Epoch:0 | Loss 4.6617 | NatPrec1 0.000 | NatPrec5 9.375 | Reg term: 0.0 ||:   0%|          | 0/782 [00:12<?, ?it/s]
Train Epoch:0 | Loss 4.6617 | NatPrec1 0.000 | NatPrec5 9.375 | Reg term: 0.0 ||:   0%|          | 0/782 [00:12<?, ?it/s]
Train Epoch:0 | Loss 4.6617 | NatPrec1 0.000 | NatPrec5 9.375 | Reg term: 0.0 ||:   0%|          | 1/782 [00:12<2:38:02, 12.14s/it]
Train Epoch:0 | Loss 4.6234 | NatPrec1 0.781 | NatPrec5 7.812 | Reg term: 0.0 ||:   0%|          | 1/782 [00:12<2:38:02, 12.14s/it]
Train Epoch:0 | Loss 4.6234 | NatPrec1 0.781 | NatPrec5 7.812 | Reg term: 0.0 ||:   0%|          | 1/782 [00:12<2:38:02, 12.14s/it]
Train Epoch:0 | Loss 4.6234 | NatPrec1 0.781 | NatPrec5 7.812 | Reg term: 0.0 ||:   0%|          | 2/782 [00:12<1:06:58,  5.15s/it]
Train Epoch:0 | Loss 4.6116 | NatPrec1 2.604 | NatPrec5 8.333 | Reg term: 0.0 ||:   0%|          | 2/782 [00:12<1:06:58,  5.15s/it]
Train Epoch:0 | Loss 4.6116 | NatPrec1 2.604 | NatPrec5 8.333 | Reg term: 0.0 ||:   0%|          | 2/782 [00:12<1:06:58,  5.15s/it]
Train Epoch:0 | Loss 4.6116 | NatPrec1 2.604 | NatPrec5 8.333 | Reg term: 0.0 ||:   0%|          | 3/782 [00:12<37:51,  2.92s/it]  
Train Epoch:0 | Loss 4.6055 | NatPrec1 1.953 | NatPrec5 7.812 | Reg term: 0.0 ||:   0%|          | 3/782 [00:12<37:51,  2.92s/it]
Train Epoch:0 | Loss 4.6055 | NatPrec1 1.953 | NatPrec5 7.812 | Reg term: 0.0 ||:   0%|          | 3/782 [00:12<37:51,  2.92s/it]
Train Epoch:0 | Loss 4.6055 | NatPrec1 1.953 | NatPrec5 7.812 | Reg term: 0.0 ||:   1%|          | 4/782 [00:12<24:11,  1.87s/it]
Train Epoch:0 | Loss 4.6202 | NatPrec1 2.500 | NatPrec5 7.812 | Reg term: 0.0 ||:   1%|          | 4/782 [00:13<24:11,  1.87s/it]
Train Epoch:0 | Loss 4.6202 | NatPrec1 2.500 | NatPrec5 7.812 | Reg term: 0.0 ||:   1%|          | 4/782 [00:13<24:11,  1.87s/it]
Train Epoch:0 | Loss 4.6202 | NatPrec1 2.500 | NatPrec5 7.812 | Reg term: 0.0 ||:   1%|          | 5/782 [00:13<16:38,  1.28s/it]
Train Epoch:0 | Loss 4.6279 | NatPrec1 2.344 | NatPrec5 7.552 | Reg term: 0.0 ||:   1%|          | 5/782 [00:13<16:38,  1.28s/it]
Train Epoch:0 | Loss 4.6279 | NatPrec1 2.344 | NatPrec5 7.552 | Reg term: 0.0 ||:   1%|          | 5/782 [00:13<16:38,  1.28s/it]
Train Epoch:0 | Loss 4.6279 | NatPrec1 2.344 | NatPrec5 7.552 | Reg term: 0.0 ||:   1%|          | 6/782 [00:13<12:06,  1.07it/s]
Train Epoch:0 | Loss 4.6305 | NatPrec1 2.009 | NatPrec5 6.920 | Reg term: 0.0 ||:   1%|          | 6/782 [00:13<12:06,  1.07it/s]
Train Epoch:0 | Loss 4.6305 | NatPrec1 2.009 | NatPrec5 6.920 | Reg term: 0.0 ||:   1%|          | 6/782 [00:13<12:06,  1.07it/s]
Train Epoch:0 | Loss 4.6305 | NatPrec1 2.009 | NatPrec5 6.920 | Reg term: 0.0 ||:   1%|          | 7/782 [00:13<09:12,  1.40it/s]
Train Epoch:0 | Loss 4.6308 | NatPrec1 2.539 | NatPrec5 7.422 | Reg term: 0.0 ||:   1%|          | 7/782 [00:13<09:12,  1.40it/s]
Train Epoch:0 | Loss 4.6308 | NatPrec1 2.539 | NatPrec5 7.422 | Reg term: 0.0 ||:   1%|          | 7/782 [00:13<09:12,  1.40it/s]
Train Epoch:0 | Loss 4.6308 | NatPrec1 2.539 | NatPrec5 7.422 | Reg term: 0.0 ||:   1%|          | 8/782 [00:13<07:19,  1.76it/s]
Train Epoch:0 | Loss 4.6282 | NatPrec1 2.257 | NatPrec5 7.292 | Reg term: 0.0 ||:   1%|          | 8/782 [00:14<07:19,  1.76it/s]
Train Epoch:0 | Loss 4.6282 | NatPrec1 2.257 | NatPrec5 7.292 | Reg term: 0.0 ||:   1%|          | 8/782 [00:14<07:19,  1.76it/s]
Train Epoch:0 | Loss 4.6282 | NatPrec1 2.257 | NatPrec5 7.292 | Reg term: 0.0 ||:   1%|          | 9/782 [00:14<06:03,  2.13it/s]
Train Epoch:0 | Loss 4.6258 | NatPrec1 2.188 | NatPrec5 7.500 | Reg term: 0.0 ||:   1%|          | 9/782 [00:14<06:03,  2.13it/s]
Train Epoch:0 | Loss 4.6258 | NatPrec1 2.188 | NatPrec5 7.500 | Reg term: 0.0 ||:   1%|          | 9/782 [00:14<06:03,  2.13it/s]
Train Epoch:0 | Loss 4.6258 | NatPrec1 2.188 | NatPrec5 7.500 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:14<05:11,  2.48it/s]
Train Epoch:0 | Loss 4.6229 | NatPrec1 2.273 | NatPrec5 7.386 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:14<05:11,  2.48it/s]
Train Epoch:0 | Loss 4.6229 | NatPrec1 2.273 | NatPrec5 7.386 | Reg term: 0.0 ||:   1%|▏         | 10/782 [00:14<05:11,  2.48it/s]
Train Epoch:0 | Loss 4.6229 | NatPrec1 2.273 | NatPrec5 7.386 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:35,  2.79it/s]
Train Epoch:0 | Loss 4.6190 | NatPrec1 2.474 | NatPrec5 7.422 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:35,  2.79it/s]
Train Epoch:0 | Loss 4.6190 | NatPrec1 2.474 | NatPrec5 7.422 | Reg term: 0.0 ||:   1%|▏         | 11/782 [00:14<04:35,  2.79it/s]
Train Epoch:0 | Loss 4.6190 | NatPrec1 2.474 | NatPrec5 7.422 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:14<04:11,  3.06it/s]
Train Epoch:0 | Loss 4.6221 | NatPrec1 2.284 | NatPrec5 7.452 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:15<04:11,  3.06it/s]
Train Epoch:0 | Loss 4.6221 | NatPrec1 2.284 | NatPrec5 7.452 | Reg term: 0.0 ||:   2%|▏         | 12/782 [00:15<04:11,  3.06it/s]
Train Epoch:0 | Loss 4.6221 | NatPrec1 2.284 | NatPrec5 7.452 | Reg term: 0.0 ||:   2%|▏         | 13/782 [00:15<03:54,  3.28it/s]
Train Epoch:0 | Loss 4.6190 | NatPrec1 2.455 | NatPrec5 7.701 | Reg term: 0.0 ||:   2%|▏         | 13/782 [00:15<03:54,  3.28it/s]
Train Epoch:0 | Loss 4.6190 | NatPrec1 2.455 | NatPrec5 7.701 | Reg term: 0.0 ||:   2%|▏         | 13/782 [00:15<03:54,  3.28it/s]
Train Epoch:0 | Loss 4.6190 | NatPrec1 2.455 | NatPrec5 7.701 | Reg term: 0.0 ||:   2%|▏         | 14/782 [00:15<03:42,  3.45it/s]
Train Epoch:0 | Loss 4.6177 | NatPrec1 2.500 | NatPrec5 7.708 | Reg term: 0.0 ||:   2%|▏         | 14/782 [00:15<03:42,  3.45it/s]
Train Epoch:0 | Loss 4.6177 | NatPrec1 2.500 | NatPrec5 7.708 | Reg term: 0.0 ||:   2%|▏         | 14/782 [00:15<03:42,  3.45it/s]
Train Epoch:0 | Loss 4.6177 | NatPrec1 2.500 | NatPrec5 7.708 | Reg term: 0.0 ||:   2%|▏         | 15/782 [00:15<03:36,  3.54it/s]
Train Epoch:0 | Loss 4.6175 | NatPrec1 2.637 | NatPrec5 7.910 | Reg term: 0.0 ||:   2%|▏         | 15/782 [00:15<03:36,  3.54it/s]
Train Epoch:0 | Loss 4.6175 | NatPrec1 2.637 | NatPrec5 7.910 | Reg term: 0.0 ||:   2%|▏         | 15/782 [00:15<03:36,  3.54it/s]
Train Epoch:0 | Loss 4.6175 | NatPrec1 2.637 | NatPrec5 7.910 | Reg term: 0.0 ||:   2%|▏         | 16/782 [00:15<03:30,  3.64it/s]
Train Epoch:0 | Loss 4.6146 | NatPrec1 2.482 | NatPrec5 7.904 | Reg term: 0.0 ||:   2%|▏         | 16/782 [00:16<03:30,  3.64it/s]
Train Epoch:0 | Loss 4.6146 | NatPrec1 2.482 | NatPrec5 7.904 | Reg term: 0.0 ||:   2%|▏         | 16/782 [00:16<03:30,  3.64it/s]
Train Epoch:0 | Loss 4.6146 | NatPrec1 2.482 | NatPrec5 7.904 | Reg term: 0.0 ||:   2%|▏         | 17/782 [00:16<03:26,  3.71it/s]
Train Epoch:0 | Loss 4.6095 | NatPrec1 2.604 | NatPrec5 8.073 | Reg term: 0.0 ||:   2%|▏         | 17/782 [00:16<03:26,  3.71it/s]
Train Epoch:0 | Loss 4.6095 | NatPrec1 2.604 | NatPrec5 8.073 | Reg term: 0.0 ||:   2%|▏         | 17/782 [00:16<03:26,  3.71it/s]
Train Epoch:0 | Loss 4.6095 | NatPrec1 2.604 | NatPrec5 8.073 | Reg term: 0.0 ||:   2%|▏         | 18/782 [00:16<03:24,  3.74it/s]
Train Epoch:0 | Loss 4.6075 | NatPrec1 2.467 | NatPrec5 7.812 | Reg term: 0.0 ||:   2%|▏         | 18/782 [00:16<03:24,  3.74it/s]
Train Epoch:0 | Loss 4.6075 | NatPrec1 2.467 | NatPrec5 7.812 | Reg term: 0.0 ||:   2%|▏         | 18/782 [00:16<03:24,  3.74it/s]
Train Epoch:0 | Loss 4.6075 | NatPrec1 2.467 | NatPrec5 7.812 | Reg term: 0.0 ||:   2%|▏         | 19/782 [00:16<03:21,  3.79it/s]
Train Epoch:0 | Loss 4.6078 | NatPrec1 2.500 | NatPrec5 7.891 | Reg term: 0.0 ||:   2%|▏         | 19/782 [00:17<03:21,  3.79it/s]
Train Epoch:0 | Loss 4.6078 | NatPrec1 2.500 | NatPrec5 7.891 | Reg term: 0.0 ||:   2%|▏         | 19/782 [00:17<03:21,  3.79it/s]
Train Epoch:0 | Loss 4.6078 | NatPrec1 2.500 | NatPrec5 7.891 | Reg term: 0.0 ||:   3%|▎         | 20/782 [00:17<03:19,  3.82it/s]
Train Epoch:0 | Loss 4.6052 | NatPrec1 2.679 | NatPrec5 7.961 | Reg term: 0.0 ||:   3%|▎         | 20/782 [00:17<03:19,  3.82it/s]
Train Epoch:0 | Loss 4.6052 | NatPrec1 2.679 | NatPrec5 7.961 | Reg term: 0.0 ||:   3%|▎         | 20/782 [00:17<03:19,  3.82it/s]
Train Epoch:0 | Loss 4.6052 | NatPrec1 2.679 | NatPrec5 7.961 | Reg term: 0.0 ||:   3%|▎         | 21/782 [00:17<03:17,  3.85it/s]
Train Epoch:0 | Loss 4.6034 | NatPrec1 2.770 | NatPrec5 8.097 | Reg term: 0.0 ||:   3%|▎         | 21/782 [00:17<03:17,  3.85it/s]
Train Epoch:0 | Loss 4.6034 | NatPrec1 2.770 | NatPrec5 8.097 | Reg term: 0.0 ||:   3%|▎         | 21/782 [00:17<03:17,  3.85it/s]
Train Epoch:0 | Loss 4.6034 | NatPrec1 2.770 | NatPrec5 8.097 | Reg term: 0.0 ||:   3%|▎         | 22/782 [00:17<03:16,  3.86it/s]
Train Epoch:0 | Loss 4.5993 | NatPrec1 2.921 | NatPrec5 8.628 | Reg term: 0.0 ||:   3%|▎         | 22/782 [00:17<03:16,  3.86it/s]
Train Epoch:0 | Loss 4.5993 | NatPrec1 2.921 | NatPrec5 8.628 | Reg term: 0.0 ||:   3%|▎         | 22/782 [00:17<03:16,  3.86it/s]
Train Epoch:0 | Loss 4.5993 | NatPrec1 2.921 | NatPrec5 8.628 | Reg term: 0.0 ||:   3%|▎         | 23/782 [00:17<03:16,  3.86it/s]
Train Epoch:0 | Loss 4.5950 | NatPrec1 2.995 | NatPrec5 8.659 | Reg term: 0.0 ||:   3%|▎         | 23/782 [00:18<03:16,  3.86it/s]
Train Epoch:0 | Loss 4.5950 | NatPrec1 2.995 | NatPrec5 8.659 | Reg term: 0.0 ||:   3%|▎         | 23/782 [00:18<03:16,  3.86it/s]
Train Epoch:0 | Loss 4.5950 | NatPrec1 2.995 | NatPrec5 8.659 | Reg term: 0.0 ||:   3%|▎         | 24/782 [00:18<03:16,  3.87it/s]
Train Epoch:0 | Loss 4.5917 | NatPrec1 3.125 | NatPrec5 9.250 | Reg term: 0.0 ||:   3%|▎         | 24/782 [00:18<03:16,  3.87it/s]
Train Epoch:0 | Loss 4.5917 | NatPrec1 3.125 | NatPrec5 9.250 | Reg term: 0.0 ||:   3%|▎         | 24/782 [00:18<03:16,  3.87it/s]
